# BUSCO version is: 5.3.2 
# The lineage dataset is: actinopterygii_odb10 (Creation date: 2021-02-19, number of genomes: 26, number of BUSCOs: 3640)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
64at7898	Missing
116at7898	Complete	TRINITY_DN10076_c0_g1_i1:0-7946	4344.0	2219
131at7898	Fragmented	TRINITY_DN38149_c0_g1_i1:74-445	220.9	113	https://www.orthodb.org/v10?query=131at7898	E3 ubiquitin-protein ligase UBR4 isoform X1
171at7898	Missing
180at7898	Missing
301at7898	Missing
394at7898	Missing
408at7898	Missing
423at7898	Missing
433at7898	Missing
594at7898	Missing
707at7898	Missing
715at7898	Complete	TRINITY_DN252_c2_g1_i1:57-13163	5745.4	3791	https://www.orthodb.org/v10?query=715at7898	apolipoprotein B-100
716at7898	Missing
832at7898	Missing
892at7898	Missing
1123at7898	Duplicated	TRINITY_DN9151_c0_g1_i4:938-8749	4499.0	2333	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	TRINITY_DN9151_c0_g1_i7:955-8766	4499.6	2333	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1123at7898	Duplicated	TRINITY_DN9151_c0_g1_i9:983-8794	4499.6	2333	https://www.orthodb.org/v10?query=1123at7898	filamin-B
1144at7898	Fragmented	TRINITY_DN2514_c2_g1_i1:431-2071	1154.0	502	https://www.orthodb.org/v10?query=1144at7898	serine/threonine-protein kinase mTOR
1155at7898	Missing
1213at7898	Missing
1220at7898	Duplicated	TRINITY_DN6293_c0_g2_i3:508-8370	1686.8	1718	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1220at7898	Duplicated	TRINITY_DN6293_c0_g2_i5:505-8298	1686.7	1775	https://www.orthodb.org/v10?query=1220at7898	breast cancer type 2 susceptibility protein
1258at7898	Missing
1262at7898	Duplicated	TRINITY_DN1104_c0_g1_i10:696-7703	5608.0	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
1262at7898	Duplicated	TRINITY_DN1104_c0_g1_i13:668-7675	5608.0	2286	https://www.orthodb.org/v10?query=1262at7898	pre-mRNA-processing-splicing factor 8
