#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN9572_c0_g1_i1:119-832    -            238 41715at7898          -            449    1e-139  465.0   4.4   1   1  7.9e-142    3e-139  463.5   4.4   239   449     3   229     1   229 0.94 -
TRINITY_DN9572_c0_g1_i2:318-974    -            219 41715at7898          -            449  3.6e-135  450.0   4.7   1   1    3e-137  1.1e-134  448.4   4.7   253   449     1   210     1   210 0.95 -
TRINITY_DN4980_c0_g1_i2:47-967     -            307 41715at7898          -            449  9.6e-107  356.3   0.6   1   1  3.5e-109  1.3e-106  355.9   0.6   239   449    81   306    69   306 0.95 -
TRINITY_DN4980_c0_g1_i4:53-958     -            302 41715at7898          -            449  3.5e-106  354.5   0.4   1   1  1.2e-108  4.4e-106  354.1   0.4   239   448    79   300    67   301 0.95 -
TRINITY_DN6424_c0_g1_i11:183-824   -            214 41715at7898          -            449   8.6e-08   30.2   0.1   1   1   2.8e-10   1.1e-07   29.9   0.1    92   175    13    98     2   117 0.79 -
TRINITY_DN6424_c0_g1_i6:215-745    -            177 41715at7898          -            449   0.00028   18.6   0.4   1   1   9.7e-07   0.00037   18.2   0.4    88   177    14   112     2   131 0.75 -
TRINITY_DN6424_c0_g1_i7:4-792      -            263 41715at7898          -            449   0.00068   17.3   0.4   1   1   2.7e-06     0.001   16.7   0.4    88   176    14   111     2   130 0.75 -
TRINITY_DN6424_c0_g1_i1:4-792      -            263 41715at7898          -            449   0.00068   17.3   0.4   1   1   2.7e-06     0.001   16.7   0.4    88   176    14   111     2   130 0.75 -
TRINITY_DN2119_c0_g1_i4:2078-3025  -            316 41715at7898          -            449    0.0048   14.5   0.1   1   1     2e-05    0.0076   13.9   0.1    89   168    16   105     3   126 0.75 -
TRINITY_DN2119_c0_g1_i6:876-1823   -            316 41715at7898          -            449    0.0048   14.5   0.1   1   1     2e-05    0.0076   13.9   0.1    89   168    16   105     3   126 0.75 -
TRINITY_DN2119_c0_g1_i14:749-1696  -            316 41715at7898          -            449    0.0048   14.5   0.1   1   1     2e-05    0.0076   13.9   0.1    89   168    16   105     3   126 0.75 -
TRINITY_DN2119_c0_g1_i18:2081-3028 -            316 41715at7898          -            449    0.0048   14.5   0.1   1   1     2e-05    0.0076   13.9   0.1    89   168    16   105     3   126 0.75 -
TRINITY_DN3215_c0_g1_i11:1475-3331 -            576 41715at7898          -            449    0.0054   14.4   0.6   1   1   2.6e-05    0.0098   13.5   0.6   251   309     8    60     4    68 0.87 -
TRINITY_DN3215_c0_g1_i2:458-2259   -            567 41715at7898          -            449    0.0059   14.2   0.6   1   1   2.5e-05    0.0096   13.5   0.6   251   309     8    60     4    68 0.87 -
TRINITY_DN3215_c0_g1_i9:309-1997   -            563 41715at7898          -            449    0.0086   13.7   0.5   1   1   3.4e-05     0.013   13.1   0.5   252   309     3    54     1    62 0.86 -
TRINITY_DN24575_c0_g1_i1:569-1471  -            301 41715at7898          -            449     0.014   13.0   0.1   1   1   5.7e-05     0.021   12.4   0.1    96   164     5    85     2   110 0.73 -
TRINITY_DN24575_c0_g1_i2:562-1464  -            301 41715at7898          -            449     0.014   13.0   0.1   1   1   5.7e-05     0.021   12.4   0.1    96   164     5    85     2   110 0.73 -
TRINITY_DN16423_c0_g1_i6:430-762   -            111 41715at7898          -            449     0.022   12.4   1.0   1   1   8.1e-05      0.03   11.9   1.0   273   305    16    48     2    51 0.87 -
TRINITY_DN2296_c2_g1_i1:176-1870   -            565 41715at7898          -            449     0.034   11.7   0.3   1   1   0.00016     0.059   11.0   0.3   273   314    20    61     7    71 0.89 -
TRINITY_DN3551_c0_g1_i1:1827-2648  -            274 41715at7898          -            449     0.049   11.2   0.0   1   1   0.00017     0.063   10.9   0.0    96   160     4    68     1   106 0.89 -
TRINITY_DN4327_c0_g1_i9:16-1101    -            316 41715at7898          -            449      0.14    9.7   3.2   1   1    0.0006      0.23    9.0   3.2   254   309     7    56     2    71 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/41715at7898.hmm
# Target file:     /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/rerun_results/trinity.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/hmmer_output/rerun_results/41715at7898.out --cpu 1 /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/41715at7898.hmm /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/rerun_results/trinity.Trinity.fasta.modified.fas 
# Current dir:     /home/ericjuo/Projects/salmo_trutta_rna_seq
# Date:            Fri Apr 29 13:04:30 2022
# [ok]
